User,Item / Request / Interest,Category,Type,Keyword
22345323,Stella Blu,Food,Credit Card,Restaurant
22345323,Towels,Equipment,Hotel Input,Towel
22345323,Saison,Food,Credit Card,Restaurant
22345323,Toppers Cellar,Beverage,Credit Card,Wine
22345323,Water Bottles,Food,Hotel Input,Water
22345323,Men's - Terrain Hiking Boot,Equipment,Credit Card,Hiking
22345323,National Geographic,Other,Social Media,National Geographic
22345323,Elk and Whitetail Deer Antler 5 Wine Bottle Holder,Equipment,Credit Card,Wine
22345323,South Coast Winery Resort & Spa,Beverage,Credit Card,Wine
22345323,Hilton - Conrad,Travel,Hotel Input,Hotel
22345323,Mount Everest,Travel,Social Media,Mount Everest
22345323,Red Wine - Room Service,Beverage,Hotel Input,Wine
22345323,Saison,Food,Credit Card,Restaurant
22345323,Water Bottles,Food,Hotel Input,Water
22345323,Filter,Equipment,Credit Card,Filter
22345323,Red Wine - Bar,Beverage,Hotel Input,Wine
22345323,Day Hiking Trails,Travel,Social Media,Hiking
22345323,Toppers Cellar,Beverage,Credit Card,Wine
22345323,California Wine Club,Beverage,Social Media,Wine
22345323,United Airlines,Travel,Credit Card,Airplane
22345323,Day Hiking Trails,Travel,Social Media,Hiking
22345323,Elk and Whitetail Deer Antler 5 Wine Bottle Holder,Equipment,Credit Card,Wine
22345323,California Wine Club,Beverage,Social Media,Wine
22345323,California Wine Club,Beverage,Social Media,Wine
22345323,Towels,Equipment,Hotel Input,Towel
22345323,Red Wine - Bar,Beverage,Hotel Input,Wine
22345323,Kershaw Trace Drop Point Assisted Opening Knife,Equipment,Credit Card,Knife
22345323,Filter,Equipment,Credit Card,Filter
22345323,South Coast Winery Resort & Spa,Beverage,Credit Card,Wine
22345323,Day Hiking Trails,Travel,Social Media,Hiking
22345323,Sports Water Bottle,Equipment,Credit Card,Bottle
22345323,Kershaw Trace Drop Point Assisted Opening Knife,Equipment,Credit Card,Knife
22345323,National Geographic,Other,Social Media,National Geographic
22345323,Kershaw Trace Drop Point Assisted Opening Knife,Equipment,Credit Card,Knife
22345323,Elk and Whitetail Deer Antler 5 Wine Bottle Holder,Equipment,Credit Card,Wine
22345323,Hiking,Travel,Social Media,Hiking
22345323,Filter,Equipment,Credit Card,Filter
22345323,Saison,Food,Credit Card,Restaurant
22345323,First Aid Kit,Equipment,Credit Card,First Aid
22345323,South Coast Winery Resort & Spa,Beverage,Credit Card,Wine
22345323,Hilton - Conrad,Travel,Hotel Input,Hotel
22345323,Sports Water Bottle,Equipment,Credit Card,Bottle
22345323,Toppers Cellar,Beverage,Credit Card,Wine
22345323,National Geographic,Other,Social Media,National Geographic
22345323,United Airlines,Travel,Credit Card,Airplane
22345323,Towels,Equipment,Hotel Input,Towel
22345323,Men's - Terrain Hiking Boot,Equipment,Credit Card,Hiking
22345323,Hilton - Conrad,Travel,Credit Card,Hotel
22345323,Stella Blu,Food,Credit Card,Restaurant
22345323,Sports Water Bottle,Equipment,Credit Card,Bottle
22345323,Mount Everest,Travel,Social Media,Mount Everest
22345323,Le Bernardin,Food,Credit Card,Restaurant
22345323,Hilton - Conrad,Travel,Credit Card,Hotel
22345323,First Aid Kit,Equipment,Credit Card,First Aid
22345323,Red Wine - Room Service,Beverage,Hotel Input,Wine
22345323,First Aid Kit,Equipment,Credit Card,First Aid
22345323,Le Bernardin,Food,Credit Card,Restaurant
22345323,Hiking,Travel,Social Media,Hiking
22345323,Stella Blu,Food,Credit Card,Restaurant
22345323,Men's - Terrain Hiking Boot,Equipment,Credit Card,Hiking
22345323,Mount Everest,Travel,Social Media,Mount Everest
22345323,Hiking,Travel,Social Media,Hiking
22345323,United Airlines,Travel,Credit Card,Airplane
22345323,Le Bernardin,Food,Credit Card,Restaurant
22345323,Red Wine - Room Service,Beverage,Hotel Input,Wine
22345323,Water Bottles,Food,Hotel Input,Water
22345323,Hilton - Conrad,Travel,Hotel Input,Hotel
22345323,Red Wine - Bar,Beverage,Hotel Input,Wine
22345323,Hilton - Conrad,Travel,Credit Card,Hotel
